Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Strachan Sewage Pumping Station,Facilities related to the pumping of sewage,1 Strachan Ave,Toronto,M6K 3C3,0,Square feet,168,3015.060719,210083.0997,kWh,6184.504202,Cubic meter,,,,,,,,,,,,,,,,,,,20932,,91.3,SASP,Sewage Pumping Facilities
Cliffcrest,Public libraries,3017 Kingston Rd,Toronto,M1M 1P1,4898,Square feet,70,0,76991.30717,kWh,9255.435484,Cubic meter,,,,,,,,,,,,,,,,,,,20880,35.7,,CC,Public Libraries
Amesbury Park Library,Public libraries,1565 Lawrence Ave W,Toronto,M6L 1B6,6318,Square feet,70,0,130441.5461,kWh,7972.662,Cubic meter,,,,,,,,,,,,,,,,,,,20808,34.0,,AP,Public Libraries
Mount Dennis,Public libraries,1123 Weston Rd,Toronto,M6N 3S3,11345,Square feet,70,0,136350.5814,kWh,7785.80553,Cubic meter,,,,,,,,,,,,,,,,,,,20715,19.3,,MD,Public Libraries
Bentworth Park Yard - Bldg 1,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,M6A 1P7,5554,Square feet,70,0,22146.59729,kWh,10421.9625,Cubic meter,,,,,,,,,,,,,,,,,,,20672,23.8,,BWPY-1,Storage Facilities
Fire Station 224,Fire stations and associated offices and facilities,1313 Woodbine Ave,Toronto,M4C 4E9,3767,Square feet,168,0,61407.76194,kWh,9413.693548,Cubic meter,,,,,,,,,,,,,,,,,,,20494,42.7,,FS224,Fire Stations
East Point Park,Other,101 Copperfield Rd,Toronto,M1E 3Z3,6523,Square feet,100,0,162265.1654,kWh,7033.575842,Cubic meter,,,,,,,,,,,,,,,,,,,20433,36.3,,EPP,Outdoor Recreational Facilities
Earl Bales Ski Tow,Other,4169 Bathurst St,Toronto,M3H 3P7,0,Square feet,100,0,463255.3947,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,20383,,,EBST,Outdoor Recreational Facilities
Hollis Childcare Centre,Other,1 Hollis St,Toronto,M6M 4N1,5576,Square feet,100,0,54278.33829,kWh,9378.920001,Cubic meter,,,,,,,,,,,,,,,,,,,20114,27.5,,HCC,Child Care Facilities
Fire Station 434,Fire stations and associated offices and facilities,3 Lunness Rd,Toronto,M8W 4M2,5188,Square feet,168,0,27883.54259,kWh,9986.546061,Cubic meter,,,,,,,,,,,,,,,,,,,20101,25.7,,FS434,Fire Stations
Leaside Gardens Curling Club,Indoor recreational facilities,1073A Millwood Ave,Toronto,M4G 1X6,27814,Square feet,100,0,0,0,10630.52538,Cubic meter,,,,,,,,,,,,,,,,,,,20092,4.0,,LEACH,Indoor Recreational Facilities
Willowdale Lawn Bowling,Indoor recreational facilities,150 Beecroft Rd,Toronto,M2N 5Z5,2293,Square feet,100,0,54068.11871,kWh,9337.66,Cubic meter,,,,,,,,,,,,,,,,,,,20027,66.6,,WDLB,Indoor Recreational Facilities
Fire Station 415,Fire stations and associated offices and facilities,2120 Kipling Ave,Toronto,M9W 4K5,7804,Square feet,168,0,71660.7797,kWh,8927.052381,Cubic meter,,,,,,,,,,,,,,,,,,,20025,21.3,,FS415,Fire Stations
Sir Adam Beck,Community centres,2 Orianna Dr,Toronto,M8W 4Y1,0,Square feet,100,0,1292.867954,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,19875,,,2ORIAN,Outdoor Recreational Facilities
Sir Adam Beck,Community centres,2 Orianna Dr,Toronto,M8W 4Y1,0,Square feet,100,0,1292.867954,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,19875,,,2ORIAN,Outdoor Recreational Facilities
Fire Station 444,Fire stations and associated offices and facilities,666 Renforth Dr,Toronto,M9C 2N6,3929,Square feet,168,0,33911.47107,kWh,9722.008793,Cubic meter,,,,,,,,,,,,,,,,,,,19867,34.8,,FS444,Fire Stations
L'Amoreaux C.C,Indoor recreational facilities,2000 McNicoll Ave,Toronto,M1V 5E9,25995,Square feet,100,0,451154.1905,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,19851,17.4,,LAMOC,Indoor Recreational Facilities
Pelmo Park Tennis,Indoor recreational facilities,185 Pelmo Cres,Toronto,M9N 2P5,2573,Square feet,100,0,107638.4498,kWh,7936.972509,Cubic meter,,,,,,,,,,,,,,,,,,,19737,74.4,,PELMT,Indoor Recreational Facilities
Highland Creek,Public libraries,3550 Ellesmere Rd,Toronto,M1C 4Y6,6997,Square feet,70,0,137443.4889,kWh,7240.73,Cubic meter,,,,,,,,,,,,,,,,,,,19732,30.6,,HLC,Public Libraries
Fire Station 431,Fire stations and associated offices and facilities,308 Prince Edward Dr,Toronto,M8Y 3Z2,3907,Square feet,168,0,36783.96906,kWh,9561.332043,Cubic meter,,,,,,,,,,,,,,,,,,,19689,35.2,,FS431,Fire Stations
Mount Pleasant,Public libraries,599 Mt. Pleasant Rd.,Toronto,M4S 2M5,5834,Square feet,70,0,71598.61032,kWh,8707.784926,Cubic meter,,,,,,,,,,,,,,,,,,,19608,28.0,,MP,Public Libraries
Fire Station 335,Fire stations and associated offices and facilities,235 Cibola Ave,Toronto,M5J 2W6,4402,Square feet,168,0,92007.99701,kWh,8214.663158,Cubic meter,,,,,,,,,,,,,,,,,,,19574,40.6,,FS335,Fire Stations
Cedar Brook C.C,Community centres,91 Eastpark Blvd,Toronto,M1H 1C6,14951,Square feet,100,0,161550.1342,kWh,6592.929554,Cubic meter,,,,,,,,,,,,,,,,,,,19569,15.5,,CEDBC,Community Centres
Victoria Village,Public libraries,184 Sloane Ave,Toronto,M4A 2C4,5382,Square feet,70,0,65047.90696,kWh,8734.694854,Cubic meter,,,,,,,,,,,,,,,,,,,19371,29.2,,VV,Public Libraries
Scarlett Woods Golf Course,Other,1000 Jane St,Toronto,M6N 4E2,3348,Square feet,100,0,39676.08838,kWh,9231.064829,Cubic meter,,,,,,,,,,,,,,,,,,,19192,41.0,,SWGC,Outdoor Recreational Facilities
Fire Station 443,Fire stations and associated offices and facilities,1724 Islington Ave,Toronto,M9A 3N2,3929,Square feet,168,0,36769.19689,kWh,9231.145479,Cubic meter,,,,,,,,,,,,,,,,,,,19065,34.2,,FS443,Fire Stations
Thomson Memorial Park,Other,1007 Brimley Rd,Toronto,M1P 3E8,0,Square feet,100,0,193668.7242,kWh,5469.689376,Cubic meter,,,,,,,,,,,,,,,,,,,18859,,,TSMP,Outdoor Recreational Facilities
Westmount Park and Pool,Other,22 Arcade Dr,Toronto,M1P 4N7,1195,Square feet,100,0,2090.916835,kWh,9923,Cubic meter,,,,,,,,,,,,,,,,,,,18846,89.4,,WESTM,Outdoor Recreational Facilities
W Acres Senior Ctr,Indoor recreational facilities,65 Hinton Rd,Toronto,M9W 6Z8,4994,Square feet,100,0,31637.16922,kWh,9228.163529,Cubic meter,,,,,,,,,,,,,,,,,,,18833,25.8,,WACRC,Indoor Recreational Facilities
Long Branch,Public libraries,3500 Lakeshore Blvd W,Toronto,M8W 1N6,6415,Square feet,70,0,71679.62471,kWh,8238.954902,Cubic meter,,,,,,,,,,,,,,,,,,,18726,24.7,,LB,Public Libraries
College Shaw,Public libraries,766 College St.,Toronto,M6G 1C2,7685,Square feet,70,0,83365.92318,kWh,7885.120347,Cubic meter,,,,,,,,,,,,,,,,,,,18571,21.7,,CS,Public Libraries
Islington Senior Centre,Indoor recreational facilities,4968 Dundas St W,Toronto,M9A 1B7,9967,Square feet,100,0,107129.2373,kWh,7314.265714,Cubic meter,,,,,,,,,,,,,,,,,,,18538,18.5,,ISLIC,Indoor Recreational Facilities
134 Spadina Rd,Other,134 Spadina Rd,Toronto,M5V 2L4,3369,Square feet,100,0,17045.4986,kWh,9406.225172,Cubic meter,,,,,,,,,,,,,,,,,,,18528,34.5,,134SPA,Leasing
Palaise Royale,Cultural facilities,1601 Lake Shore Blvd W,Toronto,M6K 3C1,28503,Square feet,100,0,411822.8545,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,18120,14.4,,LSB1601,Cultural Facilities
Station #13,Ambulance stations and associated offices and facilities,555 Martin Grove Rd,Toronto,M9R 4B7,2756,Square feet,168,0,28687.3939,kWh,8866.74875,Cubic meter,,,,,,,,,,,,,,,,,,,18020,44.4,,AS13,Ambulance Stations
Malvern Childcare Centre,Other,1321 Neilson Rd,Toronto,M1B 3C2,6501,Square feet,100,0,144297.0326,kWh,6081.08,Cubic meter,,,,,,,,,,,,,,,,,,,17842,32.1,,MCC,Child Care Facilities
Main Street,Public libraries,137 Main St.,Toronto,M4E 1Z5,8665,Square feet,70,0,84521.84075,kWh,7441.562499,Cubic meter,,,,,,,,,,,,,,,,,,,17784,18.8,,MA,Public Libraries
Jane Sheppard,Public libraries,1906 Sheppard Ave W,Toronto,M3L 1Y7,6997,Square feet,70,0,147090.6098,kWh,5939.570533,Cubic meter,,,,,,,,,,,0,0,  ,,,,,  ,17698,30.0,,JS,Public Libraries
City Kids Childcare Centre,Other,34 Bathurst,Toronto,M5V 2P1,8460,Square feet,100,0,67565.53823,kWh,7715.075993,Cubic meter,,,,,,,,,,,,,,,,,,,17554,17.6,,CKCCC,Child Care Facilities
Sixth St Garage,"Storage facilities where equipment or vehicles are maintained, repaired or stored",297 Sixth St,Toronto,M8V 3A8,6997,Square feet,70,0,8365.80585,kWh,9077.779886,Cubic meter,,,,,,,,,,,,,,,,,,,17525,14.9,,SIXSG,Storage Facilities
Fire Station 425,Fire stations and associated offices and facilities,83 Deforest Rd,Toronto,M6S 1J5,7955,Square feet,168,0,47811.19067,kWh,8122.794118,Cubic meter,,,,,,,,,,,,,,,,,,,17456,16.8,,FS425,Fire Stations
Toronto Island Service Office,"Administrative offices and related facilities, including municipal council chambers",1 Lake Shore Ave,Toronto,M5J 2W2,20968,Square feet,70,0,85504.37067,kWh,7182.263528,Cubic meter,,,,,,,,,,,,,,,,,,,17337,7.7,,TISO,Administrative Offices
Bentworth Park Yard - Bldg 2,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,M6A 1P7,6330,Square feet,70,0,40522.6829,kWh,8199.129861,Cubic meter,,,,,,,,,,,,,,,,,,,17279,20.1,,BWPY-2,Storage Facilities
Eringate Pool (outdoor),Other,121 Wellesworth Dr,Toronto,M9C 4R8,1098,Square feet,100,0,40790.37201,kWh,8164,Cubic meter,,,,,,,,,,,,,,,,,,,17225,115.6,,ERIN,Outdoor Recreational Facilities
Centre Island Buildings,Other,0 Centre Isld,Toronto,M5J 2V3,11926,Square feet,100,0,389292.4037,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,17129,32.6,,CIB,Outdoor Recreational Facilities
53 Strachan Ave,Social housing,53 Strachan Ave,Toronto,M5V 1G8,49213,Square feet,100,0,387251.4669,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,17039,7.9,,53STRA,Shelters & Housing
Christie Pits,Other,750 Bloor St W,Toronto,M6G 3K4,29536,Square feet,100,0,24651.70261,kWh,8432.040757,Cubic meter,,,,,,,,,,,,,,,,,,,17021,3.8,,CHTP,Outdoor Recreational Facilities
Smithfield Pool (outdoor),Other,173 Mount Olive Dr,Toronto,M9V 2E3,850,Square feet,100,0,24029.0796,kWh,8408.202457,Cubic meter,,,,,,,,,,,,,,,,,,,16949,132.7,,SFP,Outdoor Recreational Facilities
Otter Creek Park,Other,140 Cheritan Ave,Toronto,M4R 1S8,3035,Square feet,100,0,383086.331,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,16856,126.2,,OCP,Outdoor Recreational Facilities
Centennial,Public libraries,578 Finch Ave W,Toronto,M2R 1N7,6867,Square feet,70,0,103437.4774,kWh,6503.293776,Cubic meter,,,,,,,,,,,,,,,,,,,16842,25.1,,CT,Public Libraries
High Park Tennis Club,Other,430 Parkside Dr,Toronto,M6R 2Z3,0,Square feet,100,0,47312.04506,kWh,7802.595588,Cubic meter,,,,,,,,,,,,,,,,,,,16829,,,HIPT,Outdoor Recreational Facilities
Annette R.C,Community centres,333 Annette St,Toronto,M6P 1R3,20774,Square feet,100,0,381560.5815,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,16789,18.4,,ANNEC,Community Centres
Esther Shiner Stadium,Other,5720 Bathurst St,Toronto,M2R 3W2,9365,Square feet,100,0,373367.8417,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,16428,39.9,,ESS,Outdoor Recreational Facilities
Morningside,Public libraries,4279 Lawrence Ave E,Toronto,M1E 2S8,6997,Square feet,70,0,140213.3084,kWh,5415.599798,Cubic meter,,,,,,,,,,,,,,,,,,,16405,28.2,,MS,Public Libraries
Fountainhead A.I.R,Other,1650 Finch Ave E,Toronto,M3J 2T6,1927,Square feet,100,0,45280.38909,kWh,7582.971804,Cubic meter,,,,,,,,,,,,,,,,,,,16324,65.0,,FOUNR,Outdoor Recreational Facilities
Moorevale Park,Other,117 Moore Av Shelter,Toronto,M4T 1V8,2390,Square feet,100,0,55546.29111,kWh,7318.723062,Cubic meter,,,,,,,,,,,,,,,,,,,16276,55.6,,MOOR,Outdoor Recreational Facilities
Topham Park Clubhouse,Indoor recreational facilities,1 Tiago Ave,Toronto,M4B 3J3,3283,Square feet,100,0,24238.03034,kWh,7949.615535,Cubic meter,,,,,,,,,,,,,,,,,,,16091,32.9,,TOPH,Indoor Recreational Facilities
Spadina Road,Public libraries,10 Spadina Rd.,Toronto,M5R 2S7,3950,Square feet,70,0,66072.71329,kWh,6962.698198,Cubic meter,,,,,,,,,,,,,,,,,,,16067,35.3,,SP,Public Libraries
David Appleton Community Centre,Community centres,33A Pritchard Ave,Toronto,M9N 1T4,2906,Square feet,100,0,60403.14307,kWh,6970.865068,Cubic meter,,,,,,,,,,,,,,,,,,,15833,46.1,,YORCC,Community Centres
EMS Workshop West,Ambulance stations and associated offices and facilities,866 Richmond St.W.,Toronto,M6J 1C9,1658,Square feet,168,0,18451.83265,kWh,7936.388571,Cubic meter,,,,,,,,,,,,,,,,,,,15812,61.7,,EMSWW,Ambulance Stations
Gerrard Ashdale,Public libraries,1432 Gerrard St. E.,Toronto,M4L 1Z6,6501,Square feet,70,0,61671.99774,kWh,6891.022059,Cubic meter,,,,,,,,,,,,,,,,,,,15738,20.7,,GA,Public Libraries
Station #46,Ambulance stations and associated offices and facilities,105 Cedarvale Ave.,Toronto,M4C 4J9,1572,Square feet,168,0,20245.64514,kWh,7819.898161,Cubic meter,,,,,,,,,,,,,,,,,,,15670,65.4,,AS46,Ambulance Stations
Cumber Sewage Pumping Station,Facilities related to the pumping of sewage,5316 Lawrence Ave E,Toronto,M1C 1R5,635,Square feet,168,1594.064139,354921.2939,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,15617,558.9,222.7,CPS,Sewage Pumping Facilities
Mackenzie House Museum,Cultural facilities,82 Bond St,Toronto,M5B 1X2,2573,Square feet,100,0,41260.47981,kWh,7285.008691,Cubic meter,,,,,,,,,,,,,,,,,,,15584,45.9,,MKHM,Cultural Facilities
Neilson Park,Other,1575 Neilson Rd,Toronto,M1B 5Z7,3251,Square feet,100,0,107611.5043,kWh,5586.043345,Cubic meter,,,,,,,,,,,,,,,,,,,15293,51.2,,NSP,Outdoor Recreational Facilities
Metro 27 Lighting,Street lighting,Streetlighting,Toronto,M5V 3C6,0,Square feet,168,0,347250.2095,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,15279,,,METRO27,Streetlighting
Thornhill Pumping Station,Facilities related to the pumping of water,1 Green Lane,Thornhill,L3T 7P7,1550,Square feet,168,2619.632,345021.5965,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,15181,222.6,131.7,TPS,Water Pumping Facilities
City Hall Eternal Flame,Other,100 Queen St W,Toronto,M5H 2N1,0,Square feet,168,0,0,0,8018,Cubic meter,,,,,,,,,,,,,,,,,,,15154,,,CHEF,EDC - Others
Fire Station 413,Fire stations and associated offices and facilities,1549 Albion Rd,Toronto,M9W 1B2,3929,Square feet,168,0,39879.32343,kWh,7039.392857,Cubic meter,,,,,,,,,,,,,,,,,,,15059,29.1,,FS413,Fire Stations
Blantyre Pool,Other,180 Fallingbrook Rd,Toronto,M1N 2T6,1819,Square feet,100,0,65502.85211,kWh,6442,Cubic meter,,,,,,,,,,,,,,,,,,,15058,73.4,,BLAN,Outdoor Recreational Facilities
Hodgson School,Other,276 Davisville Ave,Toronto,M4X 1E8,2874,Square feet,100,0,227962.9847,kWh,2627.818182,Cubic meter,,,,,,,,,,,,,,,,,,,14997,89.0,,HSSC,Outdoor Recreational Facilities
Thorncliffe,Public libraries,48 Thorncliffe Park Dr,Toronto,M4H 1J7,11034,Square feet,70,0,211006.2688,kWh,3012.146552,Cubic meter,,,,,,,,,,,,,,,,,,,14977,22.0,,TH,Public Libraries
Pleasant View,Public libraries,575 Van Horne Ave,Toronto,M2J 4S8,6997,Square feet,70,0,116172.5175,kWh,5196.372333,Cubic meter,,,,,,,,,,,,,,,,,,,14933,24.4,,PV,Public Libraries
Richmond Gardens Pool (outdoor),Other,44 Strathdee Dr,Toronto,M9R 1A4,2594,Square feet,100,0,46889.72088,kWh,6790.907907,Cubic meter,,,,,,,,,,,,,,,,,,,14898,45.7,,RGP,Outdoor Recreational Facilities
Regent Park South Rink,Other,480 Shuter St,Toronto,M1P 4N7,2519,Square feet,100,0,338119.2533,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,14877,134.2,,RPSR,Outdoor Recreational Facilities
Greenfield Family Centre,Social housing,305 Greenfield Ave,Toronto,M2N 3E7,7384,Square feet,168,0,67166.92102,kWh,6262.157482,Cubic meter,,,,,,,,,,,,,,,,,,,14791,18.0,,GFC,Shelters & Housing
Station #37,Ambulance stations and associated offices and facilities,1288 Queen St.W.,Toronto,M6K 1L4,4413,Square feet,168,0,45334.97775,kWh,6700.427894,Cubic meter,,,,,,,,,,,,,,,,,,,14659,26.3,,AS37,Ambulance Stations
Amos Waites Park,Other,2445 Lake Shore Blvd W,Toronto,M8V 1C5,1356,Square feet,100,0,73596.79949,kWh,5932.363635,Cubic meter,,,,,,,,,,,,,,,,,,,14450,100.5,,AWP,Outdoor Recreational Facilities
Steeles,Public libraries,375 Bamburgh Cir,Toronto,M1W 3Y1,5005,Square feet,70,0,95478.34192,kWh,5377.128789,Cubic meter,,,,,,,,,,,,,,,,,,,14364,30.4,,ST,Public Libraries
WPC Service Chambers,Other,Various Locations,Toronto,M5V 3C6,0,Square feet,168,0,322560.9736,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,14193,,,WPSC,Water Misc Service
Power House C.C.,Community centres,65 Colonel Samuel Smith,Toronto,M8V 4B6,5737,Square feet,100,0,318966.6381,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,14035,55.6,,3KIPLI,Community Centres
Regent Park Childcare Centre,Other,30 Regent St,Toronto,M5A 3N7,15963,Square feet,100,0,317610.0294,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13975,19.9,,REGENT,Child Care Facilities
Riverdale Park West,Other,500 Gerrard St,Toronto,M5A 2H3,0,Square feet,100,0,317237.1371,kWh,8.093904,Cubic meter,,,,,,,,,,,,,,,,,,,13974,,,RVPW,Outdoor Recreational Facilities
Hanlan's Point Buildings,Other,0 Hanlans Pt,Toronto,M5V 1A1,7524,Square feet,100,0,314794.1463,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13851,41.8,,HPB,Outdoor Recreational Facilities
Mel Lastman Square,Other,5100 Yonge St,Toronto,M2N 5V7,0,Square feet,100,0,310238.4177,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13650,,,MLSQ,Outdoor Recreational Facilities
Pharmacy Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",135 Pharmacy Ave.,Toronto,M1L 3E9,1851,Square feet,70,0,30330.75301,kWh,6482.478294,Cubic meter,,,,,,,,,,,,,,,,,,,13586,53.4,,PY,Storage Facilities
James Gardens,Other,61a Edgehill Rd,Toronto,M9A 4N1,2411,Square feet,100,0,56207.12612,kWh,5871.594383,Cubic meter,,,,,,,,,,,,,,,,,,,13570,49.0,,JGC,Outdoor Recreational Facilities
Sir Winston Churchill Pk,Other,301 St Clair Ave W,Toronto,M4V 1S4,0,Square feet,100,0,60281.79307,kWh,5704.887759,Cubic meter,,,,,,,,,,,,,,,,,,,13435,,,SWCP,Outdoor Recreational Facilities
West Rouge Sewage Pumping Station,Facilities related to the pumping of sewage,6570 Lawrence Ave.E.,Toronto,M1C 4A7,3229,Square feet,168,625.1285106,305178.6071,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13428,94.5,488.2,WRPS,Sewage Pumping Facilities
West Deane Pool (outdoor),Other,19 Sedgebrooke Cres,Toronto,M9B 2X2,1098,Square feet,100,0,27185.42903,kWh,6438.793751,Cubic meter,,,,,,,,,,,,,,,,,,,13365,86.7,,WDNP,Outdoor Recreational Facilities
Withrow Park Ice Rink,Other,725 Logan Ave,Toronto,M4K 3B9,452,Square feet,100,0,303087.9123,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13336,670.6,,WPIR,Outdoor Recreational Facilities
Flagstaff Pool (outdoor htd),Other,42 Mercury Rd,Toronto,M9W 3H5,1098,Square feet,100,0,27548.89578,kWh,6401.712121,Cubic meter,,,,,,,,,,,,,,,,,,,13311,86.6,,FLAG,Outdoor Recreational Facilities
Davisville Park/Tennis,Indoor recreational facilities,218 Davisville Ave,Toronto,M5J 3J5,2777,Square feet,100,0,39891.76689,kWh,6022.105151,Cubic meter,,,,,,,,,,,,,,,,,,,13137,37.3,,DVVP,Indoor Recreational Facilities
Zion Methodist Church,Cultural facilities,1650 Finch Ave  E,Toronto,M3J 2G8,2002,Square feet,100,0,15921.37385,kWh,6579.39931,Cubic meter,,,,,,,,,,,,,,,,,,,13136,42.6,,ZMC,Cultural Facilities
72 Clinton St,Parking garages,72 Clinton St,Toronto,M6G 2Y3,0,Square feet,168,0,297188.8326,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13076,,,72CLIN,Parking Lots and Garages
North Toronto Memorial Arena,Indoor sports arenas,174 Orchard View,Toronto,M4R 1C3,44498,Square feet,100,0,296095.5249,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,13028,6.7,,NORTA,Indoor Sports Arena
Rexdale,Public libraries,2243 Kipling Ave,Toronto,M9W 4L5,5091,Square feet,70,0,53273.3266,kWh,5642.497538,Cubic meter,,,,,,,,,,,,,,,,,,,13008,22.2,,RX,Public Libraries
Trinity Bellwoods Park,Other,790 Queen St W,Toronto,M6J 1G3,42830,Square feet,100,0,58095.99358,kWh,5494.126034,Cubic meter,,,,,,,,,,,,,,,,,,,12940,2.7,,TBWP,Outdoor Recreational Facilities
Station #24,Ambulance stations and associated offices and facilities,3061 Birchmount Rd,Toronto,M1W 2S4,2659,Square feet,168,0,24846.67409,kWh,6264.272576,Cubic meter,,,,,,,,,,,,,,,,,,,12933,34.2,,AS24,Ambulance Stations
William Goodwin House,Cultural facilities,355 Lesmill Rd.,Toronto,M3B 2W8,1744,Square feet,100,0,30122.25062,kWh,6127.352449,Cubic meter,,,,,,,,,,,,,,,,,,,12906,54.4,,WGH,Cultural Facilities
Unknown,Other,55 John Street,Toronto,M5V 3C6,0,Square feet,168,0,289779.9517,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12750,,,TWWPCUNK-01,Water Misc Service
Fort York,Public libraries,170 Fort York,Toronto,M5V 0E6,13000,Square feet,70,0,289503.5726,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12738,22.3,,FY,Public Libraries
Station #31,Ambulance stations and associated offices and facilities,4219 Dundas St.W.,Toronto,M8X 1Y3,2831,Square feet,168,0,41486.66049,kWh,5757.588236,Cubic meter,,,,,,,,,,,,,,,,,,,12707,36.1,,AS31,Ambulance Stations
161 Spadina Rd,Other,161 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,1958.943758,kWh,6642.825806,Cubic meter,,,,,,,,,,,,,,,,,,,12641,,,161SPAD,Leasing
Montgomery's Inn,Cultural facilities,4709 Dundas St W,Toronto,M9A 1A8,7642,Square feet,100,0,287182.74,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12636,37.6,,MINN,Cultural Facilities
Kew Gardens Outdoor Rink,Other,28-56 Lee Av,Toronto,M4E 2N9,797,Square feet,100,0,283936.1008,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12493,356.3,,KGODR,Outdoor Recreational Facilities
Queensway Rink,Other,8 Avon Park Dr,Toronto,M8Z 3X3,0,Square feet,100,0,57898.88503,kWh,5215.2635,Cubic meter,,,,,,,,,,,,,,,,,,,12404,,,QUEER,Outdoor Recreational Facilities
Fire Station 121,Fire stations and associated offices and facilities,10 William Carson Crescent,Toronto,M2P 2E1,4219,Square feet,168,0,124027.6569,kWh,3643.445633,Cubic meter,,,,,,,,,,,,,,,,,,,12343,38.5,,FS121,Fire Stations
0 Wickman Rd-Near Fordhs,Street lighting,0 Wickman Rd,Toronto,M8Z 1M6,0,Square feet,70,0,280396.8971,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12337,,,0WICKM,Streetlighting
New Toronto Pumping Station,Facilities related to the pumping of sewage,31 Lakeshore Blvd,Toronto,M4L 2A2,2067,Square feet,168,296.0839422,277885.8726,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,12227,134.4,938.5,NTPS,Sewage Pumping Facilities
Metro Square Eternal Flame,Other,200 Wellington St W,Toronto,M5V 3C7,0,Square feet,100,0,0,0,6401.275862,Cubic meter,,,,,,,,,,,,,,,,,,,12098,,,MSEF,Outdoor Recreational Facilities
Ourland Pool (outdoor),Other,36 Ourland Ave,Toronto,M8Z 4C9,1098,Square feet,100,0,46517.20841,kWh,5302.000001,Cubic meter,,,,,,,,,,,,,,,,,,,12068,93.3,,OLP,Outdoor Recreational Facilities
Earl Bales Park,Community centres,4175 Bathurst St.,Toronto,M3H 3P7,10409,Square feet,100,0,267830.1773,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,11785,25.7,,EBP,Community Centres
Station #14,Ambulance stations and associated offices and facilities,321 Rexdale Blvd,Toronto,M9W 1R8,4252,Square feet,168,0,55607.65355,kWh,4940.43125,Cubic meter,,,,,,,,,,,,,,,,,,,11784,25.3,,AS14,Ambulance Stations
Tall Pines C.C,Community centres,64 Rylander Blvd,Toronto,M1B 4X3,5188,Square feet,100,0,58377.74563,kWh,4868.212903,Cubic meter,,,,,,,,,,,,,,,,,,,11770,21.2,,TALLC,Community Centres
Rosedale Park,Other,20 Scholfield Ave,Toronto,M9W 2Y3,4575,Square feet,100,0,205429.7026,kWh,1258.523557,Cubic meter,,,,,,,,,,,,,,,,,,,11418,47.8,,RSDP,Outdoor Recreational Facilities
Long Branch Sewage Pumping Station,Facilities related to the pumping of sewage,426 Lake Promenade,Toronto,M8W 3P2,3068,Square feet,168,1998.324397,257819.7608,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,11344,84.0,129.0,LBPS,Sewage Pumping Facilities
